code,name,name_ja,value,year
ABW,Aruba,アルバ,2.04,2006
AFG,Afghanistan,アフガニスタン,0.97,2017
ALB,Albania,アルバニア,3.06,2023
ARG,Argentina,アルゼンチン,2.9,2022
ARM,Armenia,アルメニア,3.4,2023
ATG,Antigua and Barbuda,アンティグア・バーブーダ,1.4,2022
AUS,Australia,オーストラリア,6.62,2022
AUT,Austria,オーストリア,3.26,2023
AZE,Azerbaijan,アゼルバイジャン,6.85,2023
BDI,Burundi,ブルンジ,2.08,2005
BEL,Belgium,ベルギー,3.98,2023
BEN,Benin,ベナン,1.03,2013
BFA,Burkina Faso,ブルキナファソ,4.32,2022
BGD,Bangladesh,バングラデシュ,1.69,2022
BGR,Bulgaria,ブルガリア,2.9,2023
BHR,Bahrain,バーレーン,0.05,2020
BIH,Bosnia and Herzegovina,ボスニア・ヘルツェゴビナ,2.09,2023
BLR,Belarus,ベラルーシ,3.27,2023
BLZ,Belize,ベリーズ,3.73,2022
BOL,Bolivia,ボリビア,3.62,2018
BRA,Brazil,ブラジル,4.34,2022
BRB,Barbados,バルバドス,4.39,2022
BRN,Brunei Darussalam,ブルネイ,20.66,2009
BTN,Bhutan,ブータン,5.64,2022
BWA,Botswana,ボツワナ,10.31,1994
CAF,Central African Republic,Central African Republic,1.06,2012
CAN,Canada,カナダ,4.66,2023
CHE,Switzerland,スイス,3.19,2023
CHL,Chile,チリ,5.22,2023
CHN,"China, P.R.: Mainland",中国,3.27,2023
CIV,Cote d'Ivoire,コートジボワール,1.89,2022
CMR,Cameroon,カメルーン,2.4,2022
COD,"Congo, Dem. Rep.",コンゴ民主共和国,5.35,2022
COG,"Congo, Rep.",コンゴ共和国,0.74,2022
COL,Colombia,コロンビア,7.19,2023
COM,Comoros,コモロ,1.17,2004
CPV,Cabo Verde,カーボベルデ,1.33,2022
CRI,Costa Rica,コスタリカ,2.65,2023
CUB,Cuba,キューバ,6.82,2021
CYP,Cyprus,キプロス,6.62,2023
CZE,Czechia,チェコ,4.67,2023
DEU,Germany,ドイツ,2.29,2023
DJI,Djibouti,ジブチ,1.98,2007
DMA,Dominica,ドミニカ国,2.02,2006
DNK,Denmark,デンマーク,3.78,2023
DOM,Dominican Republic,ドミニカ共和国,2.25,2022
ECU,Ecuador,エクアドル,1.16,2022
EGY,Egypt,エジプト,4.17,2023
ERI,Eritrea,エリトリア,4.28,2002
ESP,Spain,スペイン,2.88,2023
EST,Estonia,エストニア,1.88,2023
ETH,Ethiopia,エチオピア,1.39,2007
FIN,Finland,フィンランド,2.91,2023
FJI,Fiji,フィジー,3.3,2022
FRA,France,フランス,2.32,2023
FSM,"Micronesia, Federated States of","Micronesia, Federated States of",4.57,2023
GBR,United Kingdom,イギリス,3.52,2023
GEO,Georgia,ジョージア,2.52,2023
GHA,Ghana,ガーナ,3.32,2022
GIN,Guinea,ギニア,1.49,2022
GMB,"Gambia, The","Gambia, The",1.73,2006
GNB,Guinea-Bissau,ギニアビサウ,1.63,2023
GNQ,Equatorial Guinea,赤道ギニア,4.62,2022
GRC,Greece,ギリシャ,2.48,2022
GRD,Grenada,グレナダ,1.6,2013
GTM,Guatemala,グアテマラ,2.94,2022
GUY,Guyana,ガイアナ,3.45,2022
HKG,"China, P.R.: Hong Kong",香港,5.57,2023
HND,Honduras,ホンジュラス,4.0,2022
HRV,Croatia,クロアチア,3.01,2023
HTI,Haiti,ハイチ,0.57,2006
HUN,Hungary,ハンガリー,2.16,2023
IDN,Indonesia,インドネシア,4.06,2023
IND,India,インド,3.21,2016
IRL,Ireland,アイルランド,4.74,2023
IRN,Iran,イラン,3.43,2005
IRQ,Iraq,イラク,0.22,2014
ISL,Iceland,アイスランド,3.34,2023
ISR,Israel,イスラエル,3.58,2023
ITA,Italy,イタリア,2.72,2023
JAM,Jamaica,ジャマイカ,3.03,2022
JOR,Jordan,ヨルダン,2.48,2018
JPN,Japan,日本,4.42,2023
KAZ,Kazakhstan,カザフスタン,6.0,2022
