code,name,name_ja,value,year
ABW,Aruba,アルバ,10.6,2006
AFG,Afghanistan,アフガニスタン,9.77,2017
ALB,Albania,アルバニア,15.84,2023
ARG,Argentina,アルゼンチン,11.93,2022
ARM,Armenia,アルメニア,15.48,2012
ATG,Antigua and Barbuda,アンティグア・バーブーダ,9.41,2022
AUS,Australia,オーストラリア,21.81,2022
AUT,Austria,オーストリア,11.76,2023
AZE,Azerbaijan,アゼルバイジャン,37.01,2023
BDI,Burundi,ブルンジ,15.8,2005
BEL,Belgium,ベルギー,13.55,2023
BEN,Benin,ベナン,9.12,2013
BFA,Burkina Faso,ブルキナファソ,25.83,2022
BGD,Bangladesh,バングラデシュ,20.23,2022
BGR,Bulgaria,ブルガリア,13.56,2023
BHR,Bahrain,バーレーン,1.74,2020
BIH,Bosnia and Herzegovina,ボスニア・ヘルツェゴビナ,9.5,2023
BLR,Belarus,ベラルーシ,13.35,2023
BLZ,Belize,ベリーズ,17.55,2022
BOL,Bolivia,ボリビア,19.22,2022
BRA,Brazil,ブラジル,17.49,2022
BRB,Barbados,バルバドス,18.16,2022
BRN,Brunei Darussalam,ブルネイ,95.56,2009
BTN,Bhutan,ブータン,45.75,2022
BWA,Botswana,ボツワナ,51.35,1994
CAF,Central African Republic,Central African Republic,12.97,2012
CAN,Canada,カナダ,15.74,2023
CHE,Switzerland,スイス,15.81,2023
CHL,Chile,チリ,26.83,2023
CHN,"China, P.R.: Mainland",中国,21.13,2023
CIV,Cote d'Ivoire,コートジボワール,16.13,2022
CMR,Cameroon,カメルーン,18.32,2022
COD,"Congo, Dem. Rep.",コンゴ民主共和国,45.77,2022
COG,"Congo, Rep.",コンゴ共和国,6.84,2022
COL,Colombia,コロンビア,42.02,2023
COM,Comoros,コモロ,14.83,2004
CPV,Cabo Verde,カーボベルデ,7.49,2022
CRI,Costa Rica,コスタリカ,16.51,2023
CUB,Cuba,キューバ,51.35,2021
CYP,Cyprus,キプロス,25.59,2023
CZE,Czechia,チェコ,25.29,2023
DEU,Germany,ドイツ,9.91,2023
DJI,Djibouti,ジブチ,11.46,2007
DMA,Dominica,ドミニカ国,8.91,2006
DNK,Denmark,デンマーク,8.74,2023
DOM,Dominican Republic,ドミニカ共和国,16.21,2022
ECU,Ecuador,エクアドル,7.65,2022
EGY,Egypt,エジプト,24.31,2023
ERI,Eritrea,エリトリア,21.92,2002
ESP,Spain,スペイン,12.09,2023
EST,Estonia,エストニア,8.73,2023
ETH,Ethiopia,エチオピア,13.85,2007
FIN,Finland,フィンランド,9.57,2023
FJI,Fiji,フィジー,18.42,2022
FRA,France,フランス,7.93,2023
FSM,"Micronesia, Federated States of","Micronesia, Federated States of",27.67,2023
GBR,United Kingdom,イギリス,12.43,2023
GEO,Georgia,ジョージア,10.23,2023
GHA,Ghana,ガーナ,25.26,2022
GIN,Guinea,ギニア,13.86,2022
GMB,"Gambia, The","Gambia, The",19.15,2006
GNB,Guinea-Bissau,ギニアビサウ,17.8,2023
GNQ,Equatorial Guinea,赤道ギニア,70.86,2022
GRC,Greece,ギリシャ,8.55,2022
GRD,Grenada,グレナダ,8.7,2013
GTM,Guatemala,グアテマラ,24.08,2022
GUY,Guyana,ガイアナ,35.69,2022
HKG,"China, P.R.: Hong Kong",香港,42.0,2023
HND,Honduras,ホンジュラス,21.88,2022
HRV,Croatia,クロアチア,11.11,2023
HTI,Haiti,ハイチ,8.75,2006
HUN,Hungary,ハンガリー,8.78,2023
IDN,Indonesia,インドネシア,34.61,2023
IND,India,インド,18.5,2016
IRL,Ireland,アイルランド,25.65,2023
IRN,Iran,イラン,52.57,2005
IRQ,Iraq,イラク,24.78,2014
ISL,Iceland,アイスランド,10.25,2023
ISR,Israel,イスラエル,14.42,2023
ITA,Italy,イタリア,9.19,2023
JAM,Jamaica,ジャマイカ,10.95,2022
JOR,Jordan,ヨルダン,15.4,2018
JPN,Japan,日本,22.29,2022
KAZ,Kazakhstan,カザフスタン,30.83,2022
KEN,Kenya,ケニア,11.79,2022
KGZ,Kyrgyz Republic,キルギス,17.75,2023
KHM,Cambodia,カンボジア,25.15,2022
KIR,Kiribati,キリバス,18.06,2023
KNA,Saint Kitts and Nevis,セントクリストファー・ネービス,12.85,2015
KOR,"Korea, Republic of",韓国,20.34,2023
KSV,"Kosovo, Rep. of","Kosovo, Rep. of",8.68,2023
KWT,Kuwait,クウェート,24.58,1998
LAO,Lao People’s Democratic Republic,ラオス,14.24,2022
LBR,Liberia,リベリア,11.54,2004
LCA,Saint Lucia,セントルシア,9.7,2022
LIE,Liechtenstein,リヒテンシュタイン,24.89,2021
LKA,Sri Lanka,スリランカ,19.1,2022
LSO,Lesotho,レソト,9.97,2022
LTU,Lithuania,リトアニア,11.96,2023
LUX,Luxembourg,ルクセンブルク,16.96,2023
LVA,Latvia,ラトビア,6.14,2023
MAC,"China, P.R.: Macao",マカオ,9.19,2023
MAR,Morocco,モロッコ,23.26,2022
MDA,"Moldova, Rep. of",モルドバ,14.95,2023
MDG,Madagascar,マダガスカル,15.44,2022
MDV,Maldives,モルディブ,20.58,2022
MEX,Mexico,メキシコ,25.5,2023
MHL,Marshall Islands,マーシャル諸島,19.12,2006
MKD,"North Macedonia, Republic of",北マケドニア,11.52,2023
MLI,Mali,マリ,20.96,2022
MLT,Malta,マルタ,19.1,2023
MMR,Myanmar,ミャンマー,8.09,1999
MNE,Montenegro,モンテネグロ,5.68,2021
MNG,Mongolia,モンゴル,19.93,2022
MOZ,Mozambique,モザンビーク,30.63,2022
MRT,Mauritania,モーリタニア,21.3,2022
MSR,Montserrat,モントセラト,8.88,2014
MUS,Mauritius,モーリシャス,17.34,2022
MWI,Malawi,マラウイ,20.28,2022
MYS,Malaysia,マレーシア,50.15,2022
NAM,Namibia,ナミビア,21.49,2022
NER,Niger,ニジェール,18.14,2022
NGA,Nigeria,ナイジェリア,13.82,2007
NIC,Nicaragua,ニカラグア,34.05,2022
NLD,Netherlands,オランダ,18.5,2023
NOR,Norway,ノルウェー,36.38,2023
NPL,Nepal,ネパール,19.4,2017
NZL,New Zealand,ニュージーランド,12.35,2023
OMN,Oman,オマーン,51.46,2013
PAK,Pakistan,パキスタン,22.66,2004
PAN,Panama,パナマ,18.55,2014
PER,Peru,ペルー,33.77,2022
PHL,Philippines,フィリピン,18.01,2022
PNG,Papua New Guinea,パプアニューギニア,46.19,2022
POL,Poland,ポーランド,12.08,2023
PRT,Portugal,ポルトガル,13.67,2023
PRY,Paraguay,パラグアイ,23.17,2023
QAT,Qatar,カタール,80.51,2008
ROU,Romania,ルーマニア,18.26,2022
RUS,Russian Federation,ロシア,22.42,2023
RWA,Rwanda,ルワンダ,22.17,2022
SAU,Saudi Arabia,サウジアラビア,10.83,2023
SDN,Sudan,スーダン,12.35,2006
SEN,Senegal,セネガル,13.85,2022
SGP,Singapore,シンガポール,33.83,2023
SLB,Solomon Islands,ソロモン諸島,11.28,2022
SLE,Sierra Leone,シエラレオネ,19.42,2022
SLV,El Salvador,エルサルバドル,21.1,2023
SMR,"San Marino, Rep. of",サンマリノ,25.22,2023
SOM,Somalia,ソマリア,1.28,2023
SRB,Serbia,セルビア,11.22,2022
STP,Sao Tome and Principe,サントメ・プリンシペ,13.15,2011
SUR,Suriname,スリナム,23.74,2006
SVK,Slovakia,スロバキア,17.35,2023
SVN,Slovenia,スロベニア,11.23,2023
SWE,Sweden,スウェーデン,10.95,2023
SWZ,Eswatini,エスワティニ,18.65,2022
SYC,Seychelles,セーシェル,16.37,2022
SYR,Syrian Arab Republic,シリア,44.46,2007
TCD,Chad,チャド,60.51,2022
TGO,Togo,トーゴ,14.39,2022
THA,Thailand,タイ,26.5,2023
TJK,Tajikistan,タジキスタン,18.6,2022
TKM,Turkmenistan,トルクメニスタン,33.94,2008
TLS,Timor-Leste,東ティモール,77.56,2022
TON,Tonga,トンガ,12.21,2017
TTO,Trinidad and Tobago,トリニダード・トバゴ,57.22,2022
TUN,Tunisia,チュニジア,12.26,2022
TUR,Türkiye,トルコ,17.35,2023
TUV,Tuvalu,ツバル,19.67,2022
TZA,Tanzania,タンザニア,19.21,2023
UGA,Uganda,ウガンダ,7.96,2022
UKR,Ukraine,ウクライナ,10.23,2023
URY,Uruguay,ウルグアイ,13.77,2021
USA,United States,アメリカ合衆国,10.88,2023
UZB,Uzbekistan,ウズベキスタン,16.26,2002
VCT,Saint Vincent and the Grenadines,セントビンセント・グレナディーン,10.34,2017
VEN,Venezuela,ベネズエラ,8.35,2013
VNM,Vietnam,ベトナム,20.28,2022
WBG,West Bank and Gaza,パレスチナ(西岸・ガザ),3.68,2021
WSM,Samoa,サモア,8.9,2022
YEM,Yemen,イエメン,17.18,2002
ZAF,South Africa,南アフリカ,21.05,2022
ZMB,Zambia,ザンビア,16.14,2023
ZWE,Zimbabwe,ジンバブエ,26.35,2021
